Visitor/Neutral,Home/Neutral,Date,Start (ET),PTS(Visitor),PTS(Home)
Toronto Raptors,Atlanta Hawks,Wed Nov 26 2014,7:30 pm,126,115
Portland Trail Blazers,Charlotte Hornets,Wed Nov 26 2014,7:00 pm,105,97
Washington Wizards,Cleveland Cavaliers,Wed Nov 26 2014,7:00 pm,87,113
New York Knicks,Dallas Mavericks,Wed Nov 26 2014,7:30 pm,102,109
Los Angeles Clippers,Detroit Pistons,Wed Nov 26 2014,7:30 pm,104,98
Sacramento Kings,Houston Rockets,Wed Nov 26 2014,8:00 pm,89,102
Memphis Grizzlies,Los Angeles Lakers,Wed Nov 26 2014,10:30 pm,99,93
Milwaukee Bucks,Minnesota Timberwolves,Wed Nov 26 2014,8:00 pm,103,86
Utah Jazz,Oklahoma City Thunder,Wed Nov 26 2014,8:00 pm,82,97
Golden State Warriors,Orlando Magic,Wed Nov 26 2014,7:00 pm,111,96
Brooklyn Nets,Philadelphia 76ers,Wed Nov 26 2014,7:00 pm,99,91
Denver Nuggets,Phoenix Suns,Wed Nov 26 2014,9:00 pm,112,120
Indiana Pacers,San Antonio Spurs,Wed Nov 26 2014,8:30 pm,100,106
New Orleans Pelicans,Atlanta Hawks,Fri Nov 28 2014,7:30 pm,91,100
Chicago Bulls,Boston Celtics,Fri Nov 28 2014,1:00 pm,109,102
Golden State Warriors,Charlotte Hornets,Fri Nov 28 2014,7:00 pm,106,101
Phoenix Suns,Denver Nuggets,Fri Nov 28 2014,9:00 pm,97,122
Milwaukee Bucks,Detroit Pistons,Fri Nov 28 2014,7:30 pm,104,88
Los Angeles Clippers,Houston Rockets,Fri Nov 28 2014,8:00 pm,102,85
Orlando Magic,Indiana Pacers,Fri Nov 28 2014,8:00 pm,83,98
Minnesota Timberwolves,Los Angeles Lakers,Fri Nov 28 2014,10:30 pm,120,119
New York Knicks,Oklahoma City Thunder,Fri Nov 28 2014,8:00 pm,78,105
Memphis Grizzlies,Portland Trail Blazers,Fri Nov 28 2014,10:00 pm,112,99
Sacramento Kings,San Antonio Spurs,Fri Nov 28 2014,8:30 pm,104,112
Dallas Mavericks,Toronto Raptors,Fri Nov 28 2014,7:30 pm,106,102
Charlotte Hornets,Atlanta Hawks,Sat Nov 29 2014,7:30 pm,75,105
Indiana Pacers,Cleveland Cavaliers,Sat Nov 29 2014,7:30 pm,97,109
Houston Rockets,Milwaukee Bucks,Sat Nov 29 2014,9:00 pm,117,103
Dallas Mavericks,Philadelphia 76ers,Sat Nov 29 2014,7:00 pm,110,103
Los Angeles Clippers,Utah Jazz,Sat Nov 29 2014,9:00 pm,112,96
New Orleans Pelicans,Washington Wizards,Sat Nov 29 2014,7:00 pm,80,83
San Antonio Spurs,Boston Celtics,Sun Nov 30 2014,1:00 pm,111,89
Chicago Bulls,Brooklyn Nets,Sun Nov 30 2014,3:00 pm,102,84
Golden State Warriors,Detroit Pistons,Sun Nov 30 2014,3:30 pm,104,93
Toronto Raptors,Los Angeles Lakers,Sun Nov 30 2014,9:30 pm,122,129
Miami Heat,New York Knicks,Sun Nov 30 2014,7:30 pm,86,79
Orlando Magic,Phoenix Suns,Sun Nov 30 2014,8:00 pm,93,90
Minnesota Timberwolves,Portland Trail Blazers,Sun Nov 30 2014,9:00 pm,93,107
Memphis Grizzlies,Sacramento Kings,Sun Nov 30 2014,6:00 pm,97,85
Minnesota Timberwolves,Los Angeles Clippers,Mon Dec 1 2014,10:30 pm,101,127
San Antonio Spurs,Philadelphia 76ers,Mon Dec 1 2014,7:00 pm,109,103
Denver Nuggets,Utah Jazz,Mon Dec 1 2014,9:00 pm,103,101
Miami Heat,Washington Wizards,Mon Dec 1 2014,7:00 pm,86,107
Boston Celtics,Atlanta Hawks,Tue Dec 2 2014,7:30 pm,105,109
Dallas Mavericks,Chicago Bulls,Tue Dec 2 2014,8:00 pm,132,129
Milwaukee Bucks,Cleveland Cavaliers,Tue Dec 2 2014,7:00 pm,108,111
Portland Trail Blazers,Denver Nuggets,Tue Dec 2 2014,9:00 pm,105,103
Los Angeles Lakers,Detroit Pistons,Tue Dec 2 2014,7:30 pm,106,96
Orlando Magic,Golden State Warriors,Tue Dec 2 2014,10:30 pm,97,98
Oklahoma City Thunder,New Orleans Pelicans,Tue Dec 2 2014,8:00 pm,104,112
Brooklyn Nets,New York Knicks,Tue Dec 2 2014,7:30 pm,98,93
Indiana Pacers,Phoenix Suns,Tue Dec 2 2014,9:00 pm,99,116
Toronto Raptors,Sacramento Kings,Tue Dec 2 2014,10:00 pm,117,109
Detroit Pistons,Boston Celtics,Wed Dec 3 2014,7:30 pm,102,109
San Antonio Spurs,Brooklyn Nets,Wed Dec 3 2014,7:30 pm,93,95
Chicago Bulls,Charlotte Hornets,Wed Dec 3 2014,7:00 pm,102,95
Memphis Grizzlies,Houston Rockets,Wed Dec 3 2014,8:00 pm,96,105
Orlando Magic,Los Angeles Clippers,Wed Dec 3 2014,10:30 pm,86,114
Atlanta Hawks,Miami Heat,Wed Dec 3 2014,7:30 pm,112,102
Dallas Mavericks,Milwaukee Bucks,Wed Dec 3 2014,8:00 pm,107,105
Philadelphia 76ers,Minnesota Timberwolves,Wed Dec 3 2014,8:00 pm,85,77
Toronto Raptors,Utah Jazz,Wed Dec 3 2014,9:00 pm,123,104
Los Angeles Lakers,Washington Wizards,Wed Dec 3 2014,7:00 pm,95,111
New Orleans Pelicans,Golden State Warriors,Thu Dec 4 2014,10:30 pm,85,112
Cleveland Cavaliers,New York Knicks,Thu Dec 4 2014,8:00 pm,90,87
Indiana Pacers,Portland Trail Blazers,Thu Dec 4 2014,10:00 pm,82,88
Los Angeles Lakers,Boston Celtics,Fri Dec 5 2014,7:30 pm,96,113
Atlanta Hawks,Brooklyn Nets,Fri Dec 5 2014,7:30 pm,98,75
New York Knicks,Charlotte Hornets,Fri Dec 5 2014,7:00 pm,102,103
Phoenix Suns,Dallas Mavericks,Fri Dec 5 2014,8:30 pm,118,106
San Antonio Spurs,Memphis Grizzlies,Fri Dec 5 2014,8:00 pm,107,101
Miami Heat,Milwaukee Bucks,Fri Dec 5 2014,8:30 pm,85,109
Houston Rockets,Minnesota Timberwolves,Fri Dec 5 2014,8:00 pm,114,112
Oklahoma City Thunder,Philadelphia 76ers,Fri Dec 5 2014,7:00 pm,103,91
Indiana Pacers,Sacramento Kings,Fri Dec 5 2014,10:00 pm,101,102
Cleveland Cavaliers,Toronto Raptors,Fri Dec 5 2014,7:30 pm,105,91
Orlando Magic,Utah Jazz,Fri Dec 5 2014,9:00 pm,98,93
Denver Nuggets,Washington Wizards,Fri Dec 5 2014,7:00 pm,89,119
Golden State Warriors,Chicago Bulls,Sat Dec 6 2014,8:00 pm,112,102
Philadelphia 76ers,Detroit Pistons,Sat Dec 6 2014,7:30 pm,108,101
Phoenix Suns,Houston Rockets,Sat Dec 6 2014,8:00 pm,95,100
New Orleans Pelicans,Los Angeles Clippers,Sat Dec 6 2014,10:30 pm,100,120
Orlando Magic,Sacramento Kings,Sat Dec 6 2014,10:00 pm,105,96
Minnesota Timberwolves,San Antonio Spurs,Sat Dec 6 2014,8:30 pm,101,123
Denver Nuggets,Atlanta Hawks,Sun Dec 7 2014,3:30 pm,84,96
Washington Wizards,Boston Celtics,Sun Dec 7 2014,1:00 pm,93,101
Milwaukee Bucks,Dallas Mavericks,Sun Dec 7 2014,7:30 pm,102,125
Oklahoma City Thunder,Detroit Pistons,Sun Dec 7 2014,6:00 pm,96,94
New Orleans Pelicans,Los Angeles Lakers,Sun Dec 7 2014,9:30 pm,104,87
Miami Heat,Memphis Grizzlies,Sun Dec 7 2014,6:00 pm,87,103
Portland Trail Blazers,New York Knicks,Sun Dec 7 2014,7:30 pm,103,99
Cleveland Cavaliers,Brooklyn Nets,Mon Dec 8 2014,7:30 pm,110,88
Atlanta Hawks,Indiana Pacers,Mon Dec 8 2014,7:00 pm,108,92
Phoenix Suns,Los Angeles Clippers,Mon Dec 8 2014,10:30 pm,120,121
Golden State Warriors,Minnesota Timberwolves,Mon Dec 8 2014,8:00 pm,102,86
Utah Jazz,Sacramento Kings,Mon Dec 8 2014,10:00 pm,92,101
Denver Nuggets,Toronto Raptors,Mon Dec 8 2014,7:30 pm,107,112
Boston Celtics,Washington Wizards,Mon Dec 8 2014,7:00 pm,132,133
Toronto Raptors,Cleveland Cavaliers,Tue Dec 9 2014,7:00 pm,101,105
Portland Trail Blazers,Detroit Pistons,Tue Dec 9 2014,7:30 pm,98,86
Sacramento Kings,Los Angeles Lakers,Tue Dec 9 2014,10:30 pm,95,98
Dallas Mavericks,Memphis Grizzlies,Tue Dec 9 2014,8:00 pm,105,114
New York Knicks,New Orleans Pelicans,Tue Dec 9 2014,8:00 pm,93,104
Milwaukee Bucks,Oklahoma City Thunder,Tue Dec 9 2014,8:00 pm,101,114
Miami Heat,Phoenix Suns,Tue Dec 9 2014,9:00 pm,103,97
San Antonio Spurs,Utah Jazz,Tue Dec 9 2014,9:00 pm,96,100
Philadelphia 76ers,Atlanta Hawks,Wed Dec 10 2014,7:30 pm,79,95
Brooklyn Nets,Chicago Bulls,Wed Dec 10 2014,8:00 pm,80,105
Boston Celtics,Charlotte Hornets,Wed Dec 10 2014,7:00 pm,87,96
New Orleans Pelicans,Dallas Mavericks,Wed Dec 10 2014,8:00 pm,107,112
Miami Heat,Denver Nuggets,Wed Dec 10 2014,10:30 pm,82,102
Houston Rockets,Golden State Warriors,Wed Dec 10 2014,10:30 pm,93,105
Los Angeles Clippers,Indiana Pacers,Wed Dec 10 2014,7:00 pm,103,96
Portland Trail Blazers,Minnesota Timberwolves,Wed Dec 10 2014,8:00 pm,82,90
Washington Wizards,Orlando Magic,Wed Dec 10 2014,7:00 pm,91,89
New York Knicks,San Antonio Spurs,Wed Dec 10 2014,8:30 pm,95,109
Cleveland Cavaliers,Oklahoma City Thunder,Thu Dec 11 2014,8:00 pm,94,103
Houston Rockets,Sacramento Kings,Thu Dec 11 2014,10:30 pm,113,109
