Visitor/Neutral,Home/Neutral,Date,Start (ET),PTS(Visitors),PTS(Home)
Memphis Grizzlies,San Antonio Spurs,Tue Apr 19 2016,9:30 pm,68,94
Detroit Pistons,Cleveland Cavaliers,Wed Apr 20 2016,8:00 pm,90,107
Portland Trail Blazers,Los Angeles Clippers,Wed Apr 20 2016,10:30 pm,81,102
Charlotte Hornets,Miami Heat,Wed Apr 20 2016,7:00 pm,103,115
Oklahoma City Thunder,Dallas Mavericks,Thu Apr 21 2016,7:00 pm,131,102
Golden State Warriors,Houston Rockets,Thu Apr 21 2016,9:30 pm,96,97
Toronto Raptors,Indiana Pacers,Thu Apr 21 2016,7:30 pm,101,85
Atlanta Hawks,Boston Celtics,Fri Apr 22 2016,8:00 pm,103,111
Cleveland Cavaliers,Detroit Pistons,Fri Apr 22 2016,7:00 pm,101,91
San Antonio Spurs,Memphis Grizzlies,Fri Apr 22 2016,9:30 pm,96,87
Miami Heat,Charlotte Hornets,Sat Apr 23 2016,5:30 pm,80,96
Oklahoma City Thunder,Dallas Mavericks,Sat Apr 23 2016,8:00 pm,119,108
Toronto Raptors,Indiana Pacers,Sat Apr 23 2016,3:00 pm,83,100
Los Angeles Clippers,Portland Trail Blazers,Sat Apr 23 2016,10:30 pm,88,96
Atlanta Hawks,Boston Celtics,Sun Apr 24 2016,6:00 pm,95,104
Cleveland Cavaliers,Detroit Pistons,Sun Apr 24 2016,8:30 pm,100,98
Golden State Warriors,Houston Rockets,Sun Apr 24 2016,3:30 pm,121,94
San Antonio Spurs,Memphis Grizzlies,Sun Apr 24 2016,1:00 pm,116,95
Miami Heat,Charlotte Hornets,Mon Apr 25 2016,7:00 pm,85,89
Dallas Mavericks,Oklahoma City Thunder,Mon Apr 25 2016,8:00 pm,104,118
Los Angeles Clippers,Portland Trail Blazers,Mon Apr 25 2016,10:30 pm,84,98
Boston Celtics,Atlanta Hawks,Tue Apr 26 2016,8:30 pm,83,110
Indiana Pacers,Toronto Raptors,Tue Apr 26 2016,6:00 pm,99,102
Houston Rockets,Golden State Warriors,Wed Apr 27 2016,10:30 pm,81,114
Portland Trail Blazers,Los Angeles Clippers,Wed Apr 27 2016,10:00 pm,108,98
Charlotte Hornets,Miami Heat,Wed Apr 27 2016,8:00 pm,90,88
Atlanta Hawks,Boston Celtics,Thu Apr 28 2016,8:00 pm,104,92
Miami Heat,Charlotte Hornets,Fri Apr 29 2016,8:00 pm,97,90
Toronto Raptors,Indiana Pacers,Fri Apr 29 2016,7:30 pm,83,101
Los Angeles Clippers,Portland Trail Blazers,Fri Apr 29 2016,10:30 pm,103,106
Oklahoma City Thunder,San Antonio Spurs,Sat Apr 30 2016,8:30 pm,92,124
Portland Trail Blazers,Golden State Warriors,Sun May 1 2016,3:30 pm,106,118
Charlotte Hornets,Miami Heat,Sun May 1 2016,1:00 pm,73,106
Indiana Pacers,Toronto Raptors,Sun May 1 2016,8:00 pm,84,89
Atlanta Hawks,Cleveland Cavaliers,Mon May 2 2016,7:00 pm,93,104
Oklahoma City Thunder,San Antonio Spurs,Mon May 2 2016,9:30 pm,98,97
Portland Trail Blazers,Golden State Warriors,Tue May 3 2016,10:30 pm,99,110
Miami Heat,Toronto Raptors,Tue May 3 2016,8:00 pm,102,96
Atlanta Hawks,Cleveland Cavaliers,Wed May 4 2016,8:00 pm,98,123
Miami Heat,Toronto Raptors,Thu May 5 2016,8:00 pm,92,96
Cleveland Cavaliers,Atlanta Hawks,Fri May 6 2016,7:00 pm,121,108
San Antonio Spurs,Oklahoma City Thunder,Fri May 6 2016,9:30 pm,100,96
Toronto Raptors,Miami Heat,Sat May 7 2016,5:00 pm,95,91
Golden State Warriors,Portland Trail Blazers,Sat May 7 2016,8:30 pm,108,120
Cleveland Cavaliers,Atlanta Hawks,Sun May 8 2016,3:30 pm,100,99
San Antonio Spurs,Oklahoma City Thunder,Sun May 8 2016,8:00 pm,97,111
Toronto Raptors,Miami Heat,Mon May 9 2016,8:00 pm,87,94
Golden State Warriors,Portland Trail Blazers,Mon May 9 2016,10:30 pm,132,125
Oklahoma City Thunder,San Antonio Spurs,Tue May 10 2016,8:00 pm,95,91
Portland Trail Blazers,Golden State Warriors,Wed May 11 2016,10:30 pm,121,125
Miami Heat,Toronto Raptors,Wed May 11 2016,8:00 pm,91,99
San Antonio Spurs,Oklahoma City Thunder,Thu May 12 2016,8:30 pm,99,113
Toronto Raptors,Miami Heat,Fri May 13 2016,8:00 pm,91,103
Miami Heat,Toronto Raptors,Sun May 15 2016,3:30 pm,89,116
Oklahoma City Thunder,Golden State Warriors,Mon May 16 2016,9:00 pm,108,102
Toronto Raptors,Cleveland Cavaliers,Tue May 17 2016,8:30 pm,84,115
Oklahoma City Thunder,Golden State Warriors,Wed May 18 2016,9:00 pm,91,118
Toronto Raptors,Cleveland Cavaliers,Thu May 19 2016,8:30 pm,89,108
Cleveland Cavaliers,Toronto Raptors,Sat May 21 2016,8:30 pm,84,99
Golden State Warriors,Oklahoma City Thunder,Sun May 22 2016,8:00 pm,105,133
Cleveland Cavaliers,Toronto Raptors,Mon May 23 2016,8:30 pm,99,105
Golden State Warriors,Oklahoma City Thunder,Tue May 24 2016,9:00 pm,94,118
Toronto Raptors,Cleveland Cavaliers,Wed May 25 2016,8:30 pm,78,116
Oklahoma City Thunder,Golden State Warriors,Thu May 26 2016,9:00 pm,111,120
Cleveland Cavaliers,Toronto Raptors,Fri May 27 2016,8:30 pm,113,87
Golden State Warriors,Oklahoma City Thunder,Sat May 28 2016,9:00 pm,108,101
Oklahoma City Thunder,Golden State Warriors,Mon May 30 2016,9:00 pm,88,96
Cleveland Cavaliers,Golden State Warriors,Thu Jun 2 2016,9:00 pm,89,104
Cleveland Cavaliers,Golden State Warriors,Sun Jun 5 2016,8:00 pm,77,110
Golden State Warriors,Cleveland Cavaliers,Wed Jun 8 2016,9:00 pm,90,120
Golden State Warriors,Cleveland Cavaliers,Fri Jun 10 2016,9:00 pm,108,97
Cleveland Cavaliers,Golden State Warriors,Mon Jun 13 2016,9:00 pm,112,97
Golden State Warriors,Cleveland Cavaliers,Thu Jun 16 2016,9:00 pm,101,115
Cleveland Cavaliers,Golden State Warriors,Sun Jun 19 2016,8:00 pm,93,89
